"id","numero_serie","tension_r","corriente_r","potencia_a_r","potencia_r_r","tension_s","corriente_s","potencia_a_s","potencia_r_s","tension_t","corriente_t","potencia_a_t","potencia_r_t","temporal_placa","temporal_server","update"
5982,"28562F60A8D8","218.7042542000","14.9392442700","585.5108643000","3210.3791500000","218.8092804000","15.4323959400","590.4027100000","3319.0251460000","221.1593018000","15.3806610100","683.6952515000","3329.7675780000","2025-12-30 07:44:33-03","2025-12-30 07:44:33-03",NULL
5984,"28562F60A8D8","217.2697754000","14.6951484700","572.4955444000","3137.3808590000","217.4136505000","15.1428070100","565.5000000000","3238.2319340000","219.8264008000","15.1453790700","657.4161377000","3261.8159180000","2025-12-30 07:45:03-03","2025-12-30 07:45:04-03",NULL
5985,"28562F60A8D8","218.2330322000","14.8825626400","580.9401855000","3191.4704590000","218.2311096000","15.3552808800","576.3693237000","3295.2211910000","220.7816467000","15.3347730600","672.6796265000","3315.7517090000","2025-12-30 07:45:31-03","2025-12-30 07:45:31-03",NULL
5987,"28562F60A8D8","218.6100464000","14.9847774500","591.6941528000","3218.1850590000","218.6679230000","15.4379243900","575.1039429000","3320.7602540000","220.8410492000","15.4604120300","675.1154175000","3344.5917970000","2025-12-30 07:46:01-03","2025-12-30 07:46:02-03",NULL
5989,"28562F60A8D8","217.7299042000","14.7175703000","584.0046387000","3146.7580570000","217.8078003000","15.1646184900","562.8428955000","3248.6994630000","219.9566956000","15.1938200000","661.0560913000","3273.7360840000","2025-12-30 07:46:31-03","2025-12-30 07:46:32-03",NULL
5992,"28562F60A8D8","220.9441071000","15.3174696000","588.7222290000","3328.6254880000","221.0205688000","15.9034566900","590.2200317000","3459.4550780000","223.3954163000","15.8459692000","705.2777100000","3466.7031250000","2025-12-30 07:47:02-03","2025-12-30 07:47:02-03",NULL
5994,"28562F60A8D8","220.1274261000","15.1100139600","580.5996704000","3271.2338870000","220.0821991000","15.7247400300","575.6749878000","3407.1345210000","222.7248383000","15.6575269700","701.7001953000","3413.8618160000","2025-12-30 07:47:32-03","2025-12-30 07:47:33-03",NULL
5996,"28562F60A8D8","219.9789581000","15.1883544900","581.8728638000","3286.5803220000","220.1311951000","15.7262020100","585.1062012000","3407.0378420000","222.6502533000","15.6296205500","699.7442627000","3406.9416500000","2025-12-30 07:48:02-03","2025-12-30 07:48:03-03",NULL
5998,"28562F60A8D8","221.2041321000","15.4624061600","598.7841187000","3363.0793460000","221.4497070000","16.0142116500","597.2697144000","3489.4492190000","223.4022980000","15.9240293500","707.7247925000","3483.8759770000","2025-12-30 07:48:33-03","2025-12-30 07:48:33-03",NULL
6000,"28562F60A8D8","220.5021057000","15.3070688200","590.8881836000","3319.0290530000","220.7522583000","15.7313118000","589.2603760000","3416.6638180000","222.6035461000","15.7021465300","676.9732056000","3426.9584960000","2025-12-30 07:49:03-03","2025-12-30 07:49:04-03",NULL
6001,"28562F60A8D8","220.7626953000","15.3138837800","600.7337646000","3322.8723140000","221.0783081000","15.7538328200","590.8397827000","3426.5549320000","223.0785675000","15.7733917200","684.5787964000","3449.2258300000","2025-12-30 07:49:31-03","2025-12-30 07:49:31-03",NULL
6003,"28562F60A8D8","221.1442261000","15.4073562600","595.4256592000","3350.6052250000","221.4114227000","15.9224338500","596.0045776000","3468.8198240000","223.7539520000","15.8900060700","701.7038574000","3483.2001950000","2025-12-30 07:50:01-03","2025-12-30 07:50:02-03",NULL
6005,"28562F60A8D8","221.0944366000","15.4092960400","593.5853882000","3350.7170410000","221.2778778000","16.0496463800","585.8578491000","3496.8117680000","223.6574707000","15.9942722300","724.5298462000","3500.6701660000","2025-12-30 07:50:31-03","2025-12-30 07:50:32-03",NULL
6008,"28562F60A8D8","220.8016815000","15.2565012000","601.1728516000","3310.6867680000","221.0154419000","15.8197870300","580.7921143000","3442.2570800000","223.1005707000","15.8406286200","703.8774414000","3460.9895020000","2025-12-30 07:51:02-03","2025-12-30 07:51:02-03",NULL
6010,"28562F60A8D8","220.6508789000","15.1615457500","592.5975342000","3288.8137210000","220.5968933000","15.7935314200","575.3980103000","3430.9799800000","222.7588043000","15.7639389000","711.5630493000","3436.6188960000","2025-12-30 07:51:32-03","2025-12-30 07:51:33-03",NULL
6012,"28562F60A8D8","220.3295746000","15.2737169300","584.5088501000","3310.0532230000","220.6588440000","15.8977680200","591.6192017000","3451.7885740000","223.0127411000","15.7865963000","708.0708618000","3446.0534670000","2025-12-30 07:52:02-03","2025-12-30 07:52:03-03",NULL
6014,"28562F60A8D8","220.2592163000","15.1581983600","582.9537964000","3283.3186040000","220.3399506000","15.8392791700","573.9577026000","3436.5634770000","222.7192688000","15.7557840300","717.3345947000","3432.4936520000","2025-12-30 07:52:33-03","2025-12-30 07:52:33-03",NULL
6016,"28562F60A8D8","219.3609161000","14.9844226800","587.0859375000","3230.2824710000","219.3406372000","15.5673933000","565.6143799000","3361.7578130000","221.9247131000","15.5705528300","697.7392578000","3381.8449710000","2025-12-30 07:53:03-03","2025-12-30 07:53:04-03",NULL
6017,"28562F60A8D8","219.3439941000","15.0718755700","591.7644043000","3248.2839360000","219.7569275000","15.6352195700","577.7777710000","3380.6994630000","221.9329529000","15.6216058700","696.5811768000","3393.4929200000","2025-12-30 07:53:31-03","2025-12-30 07:53:31-03",NULL
6019,"28562F60A8D8","219.6110229000","15.1154422800","582.8469849000","3263.7429200000","220.0438232000","15.7888393400","581.7685547000","3418.9682620000","222.0386200000","15.6795587500","709.7006836000","3405.7041020000","2025-12-30 07:54:01-03","2025-12-30 07:54:02-03",NULL
6021,"28562F60A8D8","220.5398865000","15.2091617600","578.8717651000","3299.7380370000","221.1677246000","15.9316892600","584.3165283000","3468.5297850000","223.1286316000","15.7866573300","716.1828003000","3446.1567380000","2025-12-30 07:54:31-03","2025-12-30 07:54:32-03",NULL
6023,"28562F60A8D8","220.6621857000","15.1948747600","584.8319702000","3297.1010740000","220.7558441000","15.9083433200","577.8994141000","3457.6662600000","223.1349945000","15.8345403700","722.5526733000","3455.9575200000","2025-12-30 07:55:02-03","2025-12-30 07:55:02-03",NULL
6026,"28562F60A8D8","220.2420959000","15.2613630300","588.9244995000","3305.3015140000","220.5482178000","15.9002065700","585.7150269000","3451.6826170000","222.6634674000","15.8232183500","708.9425659000","3448.7666020000","2025-12-30 07:55:32-03","2025-12-30 07:55:33-03",NULL
